Tên xe,Giá( VNĐ),Nhiên liệu,Công suất(HP),Chỗ ngồi,Mục đích,Tình trạng,Kiểu xe,Hộp số
Odyssey EX-L 3.5  (2008),290.000.000,Xăng,244,8,Cá nhân & Gia đình,Cũ,MPV,AT
Odyssey EX-L 3.5 (2009),450.000.000,Xăng,244,8,Cá nhân & Gia đình,Cũ,MPV,AT
Odyssey 2.4 (2016),620.000.000,Xăng,173,7,Cá nhân & Gia đình,Cũ,MPV,AT
Odyssey 2.4 (2017),710.000.000,Xăng,173,7,Cá nhân & Gia đình,Cũ,MPV,AT
Jazz 1.5 V (2017),298.000.000,Xăng,118,5,Dịch vụ,Cũ,Hatchback,AT
Jazz 1.5 V (2018),340.000.000,Xăng,118,5,Dịch vụ,Cũ,Hatchback,AT
Jazz 1.5 VX (2019),368.000.000,Xăng,118,5,Dịch vụ,Cũ,Hatchback,AT
Jazz 1.5 RS (2018),350.000.000,Xăng,118,5,Dịch vụ,Cũ,Hatchback,AT
Jazz 1.5 RS (2019),368.000.000,Xăng,118,5,Dịch vụ,Cũ,Hatchback,AT
Brio 1.2 RS (2019),295.000.000,Xăng,89,5,Dịch vụ,Cũ,Hatchback,AT
Brio 1.2 G (2019),288.000.000,Xăng,89,5,Dịch vụ,Cũ,Hatchback,AT
Brio 1.2 RS (2020),315.000.000,Xăng,89,5,Dịch vụ,Cũ,Hatchback,AT
Brio 1.2 RS (2021),325.000.000,Xăng,89,5,Dịch vụ,Cũ,Hatchback,AT
BMW 3 Series,1.699.000.000,Xăng,184,5,Cá nhân & Gia đình,Mới,Sedan,AT
4 Series Gran Coupé,3.029.000.000,Xăng,258,4,Thể thao,Mới,Coupe/Thể thao,AT
4 Series Convertible,3.399.000.000,Xăng,258,4,Thể thao,Mới,Coupe/Thể thao,AT
5 Series,1.979.000.000,Xăng,184,5,Cá nhân & Gia đình,Mới,Sedan,AT
All New 5 Series,2.589.000.000,Xăng,190,5,Cá nhân & Gia đình,Mới,Sedan,AT
7 Series,5.099.000.000,Xăng,286,5,Cá nhân & Gia đình,Mới,Sedan,AT
The New BMW X1,1.689.000.000,Xăng,204,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
All New X3,2.299.000.000,Xăng,190,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
X4,2.999.000.000,Xăng,184,5,Thể thao,Mới,SUV/CUV,AT
X5,4.160.000.000,Xăng,381,7,Cá nhân & Gia đình,Mới,SUV/CUV,AT
 X6,4.459.000.000,Xăng,340,5,Thể thao,Mới,SUV/CUV,AT
 X7,6.199.000.000,Xăng,381,7,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Z4 Roadster,3.139.000.000,Xăng,197,2,Thể thao,Mới,Coupe/Thể thao,AT
iX3,3.539.000.000,Xăng,286,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
i4,3.799.000.000,Xăng,340,5,Thể thao,Mới,Coupe/Thể thao,AT
 i7,6.799.000.000,Xăng,544,5,Cá nhân & Gia đình,Mới,Sedan,AT
M2 Coupé,4.099.000.000,Xăng,480,4,Chuyên dụng,Mới,Coupe/Thể thao,AT
 M3 Competition M xDrive,5.621.000.000,Xăng,530,5,Thể thao,Mới,Sedan,AT
 M4 Competition M xDrive,6.293.000.000,Xăng,530,4,Thể thao,Mới,Coupe/Thể thao,AT
 M3 Competition Touring M xDrive,6.180.000.000,Xăng,530,5,Thể thao,Mới,Thương mại/Van,AT
 XM,10.999.000.000,HYBRID,653,5,Thể thao,Mới,SUV/CUV,AT
 8 Series Gran Coupé,6.899.000.000,Xăng,340,5,Thể thao,Mới,Coupe/Thể thao,AT
 320i M Sport 2021,1.080.000.000,Xăng,184,5,Thể thao,Cũ,Sedan,AT
 520i M Sport 2022,1.699.000.000,Xăng,184,5,Cá nhân & Gia đình,Cũ,Sedan,AT
 X3 sDrive20i M Sport 2022,1.680.000.000,Xăng,204,5,Cá nhân & Gia đình,Cũ,SUV/CUV,AT
 X3 30i M Sport 2022,1.850.000.000,Xăng,252,5,Cá nhân & Gia đình,Cũ,SUV/CUV,AT
 X5 xDrive40i M Sport 2022,2.788.000.000,Xăng,340,5,Cá nhân & Gia đình,Cũ,SUV/CUV,AT
 118i,599.000.000,Xăng,136,5,Cá nhân & Gia đình,Cũ,Hatchback,AT
 218i Gran Tourer,900.000.000,Xăng,136,7,Cá nhân & Gia đình,Cũ,MPV,AT
 X2,2.037.000.000,Xăng,192,5,Cá nhân & Gia đình,Cũ,SUV/CUV,AT
Mazda2 1.5L AT,418.000.000,Xăng,110,5,Cá nhân & Gia đình,Mới,Sedan,AT
Mazda2 Sport 1.5L Luxury,494.000.000,Xăng,110,5,Cá nhân & Gia đình,Mới,Hatchback,AT
Mazda3 1.5L Deluxe (Tuỳ chọn),599.000.000,Xăng,110,5,Cá nhân & Gia đình,Mới,Sedan,AT
Mazda3 Sport 1.5L Premium,719.000.000,Xăng,110,5,Cá nhân & Gia đình,Mới,Hatchback,AT
Mazda CX-3 1.5L AT,519.000.000,Xăng,110,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Mazda CX-3 1.5L Premium,654.000.000,Xăng,110,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Mazda CX-30 2.0L Luxury,699.000.000,Xăng,153,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Mazda CX-30 2.0L Premium,749.000.000,Xăng,153,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Mazda CX-5 2.0L Deluxe,749.000.000,Xăng,154,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Mazda CX-5 2.0L Premium Exclusive,869.000.000,Xăng,154,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Mazda CX-8 2.5 Luxury,899.000.000,Xăng,188,7,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Mazda CX-8 2.5 Signature AWD,1.149.000.000,Xăng,188,7,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Mazda6 2.5 Premium,425.000.000,Xăng,188,5,Cá nhân & Gia đình,Cũ,Sedan,AT
Mazda BT-50,318.000.000,Dầu,148,5,Dịch vụ,Cũ,Bán tải,MT
Mazda2 Sport 1.5L Luxury,537.000.000,Xăng,110,5,Cá nhân & Gia đình,Mới,Hatchback,AT
Mazda3 Sport 1.5L Premium,719.000.000,Xăng,110,5,Cá nhân & Gia đình,Mới,Hatchback,AT
Mazda MX 5 2.0 MT,1.339.000.000,Xăng,181,2,Thể thao,Cũ,Coupe/Thể thao,MT
Mazda CX-5 2.5L,575.000.000,Xăng,188,5,Cá nhân & Gia đình,Cũ,SUV/CUV,AT
Mazda6 2.0 AT,379.000.000,Xăng,154,5,Cá nhân & Gia đình,Cũ,Sedan,AT
Suzuki FronX GL,520.000.000,Xăng,103,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Suzuki FronX GLX,599.000.000,Hybrid,101,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Suzuki FronX GLX Plus,649.000.000,Hybrid,101,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Suzuki Swift,569.000.000,Hybrid,82,5,Cá nhân & Gia đình,Mới,Hatchback,AT
XL7 Hybrid,599.900.000,Hybrid,103,7,Dịch vụ,Mới,SUV/CUV,AT
Suzuki Jinny,799.000.000,Xăng,101,4,Thể thao,Mới,SUV/CUV,AT
Suzuki Super Carry Pro,324.600.000,Xăng,95,2,Dịch vụ,Mới,Thương mại/Van,MT
Suzuki Eeco,330.000.000,Xăng,80,2,Dịch vụ,Mới,Thương mại/Van,MT
Suzuki Ertiga,390.000.000,Hybrid,103,7,Cá nhân & Gia đình,Cũ,MPV,MT
Suzuki Ertiga 1.4AT,250.000.000,Xăng,103,7,Cá nhân & Gia đình,Cũ,MPV,AT
Suzuki Ciaz,285.000.000,Xăng,91,5,Cá nhân & Gia đình,Cũ,Sedan,AT
Suzuki Celerio,210.000.000,Xăng,67,5,Cá nhân & Gia đình,Cũ,Hatchback,MT
Suzuki Vitara,360.000.000,Xăng,118,5,Cá nhân & Gia đình,Cũ,SUV/CUV,AT
Ford 2026 Territory Trend 1.5L AT,739.000.000,Xăng,158.24 ,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Ford 2026 Territory Platium 1.5L AT,916.000.000,Xăng,158.24,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Ford Ranger Raptor 3.0L 4X4 AT,1.448.000.000,Xăng,391.58,5,Thể thao,Mới,Bán tải,AT
Ford Ranger Wildtrak 2026 : 4x4,949.000.000,Dầu,246.75,5,Dịch vụ,Mới,Bán tải,AT
Ford Ranger XLS 2026,707.000.000,Xăng,167.63,5,Dịch vụ,Mới,Bán tải,AT
Ford Mustang Mach-E Premium AWD 2026,1.699.000.000,Điện,389.6,5,Thể thao,Mới,Coupe/Thể thao,AT
Ford Everest Platinum 2.0L 4x4 AT 2026,1.545.000.000,Dầu,209.8,7,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Ford Transit Trend 2026,827.000.000,Dầu,168.97,16,Dịch vụ,Mới,Thương mại/Van,MT
Ford Everest Titanium 2.0L 4x4 AT 2020,735.000.000,Dầu,178,7,Cá nhân & Gia đình,Cũ,SUV/CUV,AT
Ford Everest 2.5L 4x2 MT 2013,345.000.000,Dầu,141,7,Cá nhân & Gia đình,Cũ,SUV/CUV,MT
Ford Territory Titanium X 1.5 AT 2023,665.000.000,Xăng,160,5,Cá nhân & Gia đình,Cũ,SUV/CUV,AT
Ford Territory Titanium X 1.5 AT 2026,779.000.000,Xăng,160,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
Ford Transit Premium+ 2026,1.010.000.000,Dầu,171,18,Dịch vụ,Mới,Thương mại/Van,MT
Ford Transit Premium 2026,890.000.000,Dầu,171,16,Dịch vụ,Mới,Thương mại/Van,MT
Ford Transit Limousine 10S 2025,1.199.000.000,Dầu,171,10,Dịch vụ,Mới,Thương mại/Van,MT
Ford Ranger Stormtrak 2.0L 4x4 AT 2025,1.039.000.000,Dầu,210,5,Dịch vụ,Mới,Bán tải,AT
Ford Transit Van 2025,905.000.000,Dầu,171,3,Dịch vụ,Mới,Thương mại/Van,MT
Ford Ranger XLS 2.2L 4x2 MT 2018,360.000.000,Dầu,160,5,Dịch vụ,Cũ,Bán tải,MT
Ford EcoSport Titanium 1.0 EcoBoost 2018,315.000.000,Xăng,123,5,Cá nhân & Gia đình,Cũ,SUV/CUV,AT
Ford Tourneo Titanium 2.0 AT 2020,560.000.000,Xăng,203,7,Dịch vụ,Cũ,MPV,AT
VinFast VF6 Plus 2025,645.000.000,Điện,150,5,Cá nhân & Gia đình,Cũ,SUV/CUV,AT
VinFast VF8 Plus AWD 2023,639.000.000,Điện,402,5,Cá nhân & Gia đình,Cũ,SUV/CUV,AT
VinFast Minio Green AT 2026,192.000.000,Điện,53.64,4,Dịch vụ,Mới,Hatchback,AT
VinFast VF5 Plus 2026,422.000.000,Điện,134,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
VinFast VF9 Plus 7S 2026,1.504.000.000,Điện,402,7,Cá nhân & Gia đình,Mới,SUV/CUV,AT
VinFast VF3 Plus 2025,255.000.000,Điện,42.91,4,Cá nhân & Gia đình,Cũ,SUV/CUV,AT
VinFast VF8 Plus AWD 2022,580.000.000,Điện,402,5,Cá nhân & Gia đình,Cũ,SUV/CUV,AT
VinFast President 6.2 V8 2021,1.090.000.000,Xăng,420,7,Cá nhân & Gia đình,Cũ,SUV/CUV,AT
VinFast VF7 Eco 2026,626.000.000,Điện,130,5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
VinFast VF5 Plus 2025,403.000.000,Điện,134,5,Dịch vụ,Cũ,SUV/CUV,AT
VinFast Herio Green AT 2026,479.000.000,Điện,134,5,Dịch vụ,Mới,SUV/CUV,AT
VinFast Fadil Tiêu chuẩn 1.4 AT 2022,299.000.000,Xăng,98,5,Cá nhân & Gia đình,Cũ,Hatchback,AT
VinFast VF MPV 7 AT 2026,670.000.000,Điện,201,7,Dịch vụ,Mới,SUV/CUV,AT
VinFast VF2 Eco 2026,180.000.000,Điện,40.23,4,Cá nhân & Gia đình,Mới,SUV/CUV,AT
VinFast President 6.2 V8 2020,859.000.000,Xăng,420,7,Cá nhân & Gia đình,Cũ,SUV/CUV,AT
VinFast VF6 Eco 2026,580.000.000,Điện,"134,1",5,Cá nhân & Gia đình,Mới,SUV/CUV,AT
VinFast Lux SA 2.0 Base 2.0 AT 2021,580.000.000,Xăng,228,7,Cá nhân & Gia đình,Cũ,SUV/CUV,AT
VinFast VF8 Eco AWD 2023,765.000.000,Điện,349,5,Cá nhân & Gia đình,Cũ,SUV/CUV,AT
VinFast VF7 S 2024,599.000.000,Điện,130,5,Cá nhân & Gia đình,Cũ,SUV/CUV,AT
